Agile Software Development,1,+1,"£62,500",+4.16%,"46,353 (32.52%)","6,318"
Social Skills,2,+2,"£55,000",+4.76%,"34,265 (24.04%)","6,497"
Developer,3,-2,"£60,000",+11.11%,"32,769 (22.99%)","6,617"
Finance,4,+3,"£65,000",+4.00%,"29,967 (21.03%)","4,183"
Azure,5,-2,"£62,500",+8.69%,"28,146 (19.75%)","5,301"
AWS,6,+2,"£70,000",+7.69%,"25,236 (17.71%)","3,798"
JavaScript,7,-2,"£60,000",+14.28%,"24,766 (17.38%)","4,026"
SQL,8,-2,"£55,000",+4.76%,"24,664 (17.31%)","3,922"
Python,9,+2,"£70,000",+7.69%,"22,457 (15.76%)","3,202"
DevOps,10,0,"£70,000",+12.00%,"22,172 (15.56%)","3,336"
Software Engineering,11,+4,"£67,500",+12.50%,"21,570 (15.13%)","3,021"
Microsoft,12,-3,"£50,000",-,"21,379 (15.00%)","5,113"
Java,13,0,"£70,000",+7.69%,"19,304 (13.54%)","2,897"
Problem-Solving,14,+11,"£53,000",+0.95%,"18,507 (12.99%)","3,022"
Degree,15,+8,"£55,000",-,"17,659 (12.39%)","3,114"
React,16,0,"£66,500",+10.83%,"17,102 (12.00%)","2,326"
C#,17,-5,"£57,500",+9.52%,"16,688 (11.71%)","3,370"
CI/CD,18,+1,"£72,500",+11.53%,"16,000 (11.23%)","2,244"
Analyst,19,+5,"£45,000",+5.88%,"15,051 (10.56%)","1,933"
Docker,20,+1,"£72,500",+11.53%,"14,514 (10.18%)","1,925"
Analytics,21,+13,"£65,000",+8.33%,"14,062 (9.87%)","1,614"
.NET,22,-8,"£57,500",+9.52%,"13,837 (9.71%)","2,938"
Kubernetes,23,+5,"£75,000",+11.11%,"13,616 (9.55%)","1,921"
Windows,24,-6,"£43,500",-3.33%,"13,011 (9.13%)","3,206"
Analytical Skills,25,+11,"£55,000",+10.00%,"12,680 (8.90%)","1,843"
HTML,26,-9,"£55,000",+10.00%,"12,483 (8.76%)","2,158"
Mentoring,27,+14,"£62,920",+1.48%,"12,267 (8.61%)","1,695"
Linux,28,-6,"£60,000",+9.09%,"12,231 (8.58%)","2,222"
Scrum,29,-2,"£61,180",+6.39%,"12,216 (8.57%)","1,653"
CSS,30,-10,"£52,500",+5.00%,"11,751 (8.25%)","1,942"
