Agile Software Development,1,+1,"£62,500",+4.16%,"46,789 (32.67%)","6,399"
Social Skills,2,+2,"£55,000",+4.76%,"34,486 (24.08%)","6,713"
Developer,3,-2,"£60,000",+10.09%,"32,779 (22.89%)","6,736"
Finance,4,+3,"£65,000",+4.00%,"30,269 (21.13%)","4,335"
Azure,5,-2,"£62,500",+8.69%,"28,299 (19.76%)","5,387"
AWS,6,+2,"£70,000",+7.69%,"25,520 (17.82%)","3,861"
SQL,7,-1,"£55,000",+4.76%,"24,879 (17.37%)","4,002"
JavaScript,8,-3,"£60,000",+14.28%,"24,829 (17.34%)","4,057"
Python,9,+2,"£70,000",+7.69%,"22,730 (15.87%)","3,264"
DevOps,10,0,"£70,000",+12.00%,"22,373 (15.62%)","3,406"
Software Engineering,11,+4,"£67,500",+12.50%,"21,650 (15.12%)","3,076"
Microsoft,12,-3,"£50,000",-,"21,414 (14.95%)","5,279"
Java,13,0,"£70,000",+7.69%,"19,434 (13.57%)","2,964"
Problem-Solving,14,+10,"£53,000",+0.95%,"18,682 (13.04%)","3,071"
Degree,15,+8,"£55,000",-,"17,790 (12.42%)","3,155"
React,16,0,"£66,500",+10.83%,"17,120 (11.95%)","2,362"
C#,17,-5,"£57,500",+9.52%,"16,712 (11.67%)","3,422"
CI/CD,18,+1,"£72,500",+11.53%,"16,180 (11.30%)","2,285"
Analyst,19,+6,"£45,000",+5.88%,"15,099 (10.54%)","2,005"
Docker,20,+1,"£72,500",+11.53%,"14,637 (10.22%)","1,922"
Analytics,21,+12,"£65,000",+8.33%,"14,243 (9.95%)","1,694"
.NET,22,-8,"£57,500",+9.52%,"13,849 (9.67%)","3,002"
Kubernetes,23,+5,"£75,000",+11.11%,"13,800 (9.64%)","1,945"
Windows,24,-6,"£43,500",-3.33%,"13,082 (9.13%)","3,252"
Analytical Skills,25,+11,"£55,000",+10.00%,"12,850 (8.97%)","1,912"
HTML,26,-9,"£55,000",+10.00%,"12,495 (8.72%)","2,157"
Mentoring,27,+14,"£62,904",+1.05%,"12,408 (8.66%)","1,711"
Scrum,28,-1,"£61,750",+7.39%,"12,350 (8.62%)","1,664"
Linux,29,-7,"£60,000",+9.09%,"12,349 (8.62%)","2,271"
CSS,30,-10,"£52,500",+5.00%,"11,765 (8.21%)","1,941"
